寄存器地址,数据名称,数据类型,读写属性,功能说明（数据范围/含义）
0x0020,运转状态,UINT16,R/W,0x0000：停止；0x0001：运转
0x0021,运转模式,UINT16,R/W,0x0000：热交换；0x0001：普通换气；0x0002：内循环；0x0004：自动；0x0006：静音；0x0007：混风
0x0022,风量设定,UINT16,R/W,0x0001：弱；0x0003：强
0x0070,OA PM2.5 现在值,UINT16,R,0x0000:0μg/m?，0x0001:1μg/m?，0x03e7:999μg/m?，0xffff无有效数据
0x0071,SA PM2.5 现在值,UINT16,R,0x0000:0μg/m?，0x0001:1μg/m?，0x03e7:999μg/m?，0xffff无有效数据
0x0072,RA PM2.5 现在值,UINT16,R,0x0000:0μg/m?，0x0001:1μg/m?，0x03e7:999μg/m?，0xffff无有效数据
0x0073,OA 湿度现在值,UINT16,R,"?0x0000：0%，0x0001:1, 0x0063:99%,0x0064:100%,0xffff无有效数据"
0x0075,RA 湿度现在值,UINT16,R,"?0x0000：0%，0x0001:1, 0x0063:99%,0x0064:100%,0xffff无有效数据"
0x0076,OA 温度现在值,INT16,R,?0xFFE2?= -30℃，0x0032?= 50℃，0xffff：-1℃，0x0000:0℃，0x7fff：无有效数据
0x0077,SA 温度现在值,INT16,R,?0xFFE2?= -30℃，0x0032?= 50℃，0xffff：-1℃，0x0000:0℃，0x7fff：无有效数据
0x0078,RA 温度现在值,INT16,R,?0xFFE2?= -30℃，0x0032?= 50℃，0xffff：-1℃，0x0000:0℃，0x7fff：无有效数据
0x007B,RA CO? 现在值,UINT16,R,当前回风CO?浓度（ppm），范围?0x0000~0x1388（0~5000）
0x007E,RA TVOC 现在值,UINT16,R,"0x0000-0x0005：level0-5,0xffff：无有效数据"
0x0014,网络时间（年）,uint16,w,0xffff：设定skip
0x0015,网络时间（秒）（低位字节）,uint8,w,0xffff：设定skip
0x0015,网络时间（分）（高位字节）,uint8,w,0x00-0x3b：00-59分
0x0016,网络时间（时）（低位字节）,uint8,w,0x00-0x17：00-23时
0x0016,网络时间（周）（高位字节）,uint8,w,0x01-0x07：周一0周日
0x0017,网络时间（日）（低位字节）,uint8,w,0xffff：设定skip
0x0017,网络时间（月）（高位字节）,uint8,w,0xffff：设定skip
0x0025,正压设定,uint16,rw,0x0000：标准，0x0001：正压模式，0x0002：自定义模式
0x0026,正压模式设定,uint16,rw,0x0001：正压弱，0x0002：正压中，0x0003：正压强
0x0027,度假模式设定,uint16,rw,0x0000：off，ox0001：on
0x0028,自动运转感应度设定（PM2.5）,uint16,rw,0x0000：高，0x0001：中，0x0002：低
0x0029,自动运转感应度设定（CO2）,uint16,rw,0x0000：高，0x0001：中，0x0002：低
0x002A,自动运转感应度设定（TVOC）,uint16,rw,0x0000：低，0x0002：高
